userid,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,YAVG,ZAVG,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,label
33,0.04,0.09,0.14,0.12,0.11,0.1,0.08,0.13,0.13,0.08,0.09,0.1,0.11,0.11,0.08,0.04,0.16,0.13,0.1,0.03,0.12,0.08,0.09,0.12,0.1,0.1,0.08,0.11,0.12,0.1,8.4,1.76,3.29,7.21,4.0,4.05,8.17,4.05,11.96,Jogging
33,0.12,0.12,0.06,0.07,0.11,0.1,0.11,0.09,0.12,0.1,0.12,0.11,0.07,0.1,0.13,0.13,0.06,0.11,0.1,0.04,0.11,0.11,0.11,0.09,0.12,0.1,0.11,0.1,0.07,0.08,7.62,1.43,4.23,6.88,4.05,5.43,8.19,5.43,12.05,Jogging
33,0.14,0.09,0.11,0.09,0.09,0.11,0.12,0.08,0.05,0.12,0.09,0.1,0.12,0.1,0.1,0.12,0.08,0.07,0.1,0.06,0.07,0.11,0.1,0.09,0.08,0.11,0.11,0.09,0.1,0.12,7.77,2.39,4.18,6.89,4.07,5.55,8.19,5.55,11.99,Jogging
33,0.06,0.1,0.09,0.09,0.11,0.07,0.12,0.1,0.14,0.14,0.12,0.08,0.11,0.1,0.1,0.11,0.11,0.1,0.08,0.11,0.1,0.1,0.11,0.1,0.09,0.07,0.12,0.14,0.07,0.11,9.57,0.49,2.26,4.13,2.49,2.87,4.95,2.87,10.69,Walking
33,0.12,0.11,0.1,0.08,0.1,0.14,0.1,0.11,0.08,0.07,0.1,0.11,0.07,0.09,0.1,0.11,0.1,0.11,0.14,0.09,0.1,0.09,0.11,0.1,0.11,0.11,0.08,0.09,0.14,0.1,9.76,0.51,2.29,3.94,2.41,3.08,4.64,3.08,10.8,Walking
33,0.09,0.09,0.1,0.12,0.08,0.06,0.09,0.08,0.07,0.08,0.07,0.1,0.11,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.08,0.1,0.06,0.09,0.09,0.11,0.08,0.08,0.07,0.08,7.73,0.31,2.0,3.39,1.94,3.13,4.95,3.13,8.63,Walking
33,0.12,0.12,0.12,0.13,0.15,0.11,0.08,0.09,0.06,0.03,0.1,0.11,0.09,0.1,0.1,0.12,0.09,0.11,0.1,0.1,0.13,0.08,0.11,0.12,0.08,0.07,0.09,0.1,0.11,0.13,9.2,1.19,1.56,2.55,1.72,2.09,3.2,2.09,9.87,Upstairs
33,0.1,0.1,0.1,0.1,0.11,0.11,0.09,0.09,0.12,0.12,0.09,0.11,0.1,0.08,0.1,0.12,0.08,0.1,0.11,0.11,0.08,0.11,0.1,0.1,0.12,0.1,0.13,0.1,0.07,0.1,9.3,1.4,1.84,2.69,1.41,2.22,3.35,2.22,9.91,Upstairs
33,0.08,0.07,0.08,0.08,0.05,0.08,0.14,0.1,0.15,0.16,0.12,0.09,0.09,0.12,0.11,0.08,0.11,0.09,0.1,0.1,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12,0.08,9.06,1.38,2.26,2.7,1.3,2.68,3.4,2.68,9.78,Upstairs
33,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.39,-0.01,0.07,0.37,0.03,1.85,9.34,1.85,0.39,Upstairs
