claim_id,report_section,claim_text,claim_type,source_artifact,source_location,evidence_strength,notes
CIT-01,1. Резюме,Статья идентифицируется как Colorful Pinball с авторами Qianyi Chen и Bo Li.,ARTICLE_CLAIM,provenance/article_sources/ARTICLE_IDENTITY.json,title/authors/year,STRONG,Primary source identity recovered from arXiv v5 and official repo.
CIT-02,2. Об исследуемой статье,"Diamond является частью статьи, которую удалось сопоставить с recovered primary sources.",ARTICLE_CLAIM,provenance/article_sources/SOURCE_MATERIALS_MANIFEST.json,primary_source=true entries,STRONG,Evidence of official PDF/HTML and repository commit.
CIT-03,5. Источники и provenance,Primary PDF SHA-256 verified.,REPRODUCTION_FACT,source_materials/original_article/colorful_pinball_article.pdf,20ca7db872d6d2905f5d06bad11294aa2ccdc4878506c4eadd4f803f84094187,STRONG,Hash used in validation and final verdict.
CIT-04,5. Источники и provenance,Statistical plan SHA-256 verified.,REPRODUCTION_FACT,planning/DIAMOND_STATISTICAL_REPRODUCTION_PLAN.json,5a3dc9fd90b3dceea89e4215b2ba44af90158effeea5018447a50ad6108fd0b8,STRONG,Locked plan matches current plan artifact.
CIT-05,8. Проверка технической воспроизводимости,Official benchmark completed with exit code 0.,REPRODUCTION_FACT,execution/diamond_statistical/runs/run-001-seed-42/VALIDATION.json,"completed=true, exit_code=0",STRONG,Validated immutable bundle.
CIT-06,9. Результаты числового сравнения,Pair-level audit found 78 comparable pairs and 10 material discrepancies.,AUDIT_CONCLUSION,analysis/diamond/diamond_pair_verdict_summary.json,"comparable_pairs, material_numerical_discrepancy_pairs",STRONG,Summary-level audit result.
CIT-07,9. Результаты числового сравнения,Comparison CSV includes 11 matches at reported precision and 57 close rows.,REPRODUCTION_FACT,analysis/diamond/diamond_comparison.csv,comparison_status counts,STRONG,Direct CSV count from comparison artifact.
CIT-08,10. Победители по метрикам,Top winner matches on all six shared metrics.,AUDIT_CONCLUSION,analysis/diamond/diamond_winner_comparison.csv,top_method_match=true for Size/WSC/MSCE_10/MSCE_30/L1-ERT/L2-ERT,STRONG,Winner comparison table.
CIT-09,11. Анализ ранжирования,"Full order match is false for all shared metrics, but top-1 is stable.",AUDIT_CONCLUSION,analysis/diamond/diamond_ranking_summary.json,rank_order_match and metrics stats,STRONG,Ranking summary JSON.
CIT-10,12. Проверка Volume и Size,Volume/Size mapping is a renamed same metric.,AUDIT_CONCLUSION,analysis/diamond/volume_size_mapping.json,status=RENAMED_SAME_METRIC,STRONG,Dedicated volume-size audit.
CIT-11,13. Анализ причин расхождений,Seed control limitation is a supported blocker.,LIMITATION,execution/diamond_statistical/SAMPLE_COMPLETION_REVIEW.json,seed_control_status=DIAMOND_SEED_CONTROL_BLOCKED,STRONG,No supported external seed override recovered.
CIT-12,14. Статистическая репродукция,Sample completion is complete but reproducibility remains insufficient.,AUDIT_CONCLUSION,analysis/diamond/statistical/diamond_statistical_reproduction_summary.json,sample_completion_status / reproduction_verdict,STRONG,Statistical status split maintained.
CIT-13,15. Аудит утверждений статьи,C1–C4 confirmed and C5 partially confirmed.,AUDIT_CONCLUSION,analysis/diamond/article_diamond_claims.csv,claim_verdict column,STRONG,Claim audit CSV.
CIT-14,16. Что лаборатория подтвердила,Technical reproducibility confirmed.,AUDIT_CONCLUSION,reports/COLORFUL_PINBALL_DIAMOND_STATISTICAL_REPRODUCTION_REPORT.md,verdict section,STRONG,Cross-checked with validation file.
CIT-15,17. Что лаборатория не смогла подтвердить,No independent inter-run seed stability.,LIMITATION,execution/diamond_statistical/ENVIRONMENT_SNAPSHOT.json,no GPU + seed environment details,MODERATE,Insufficient evidence for multi-run stability.
CIT-16,18. Ограничения исследования,Diamond-only scope.,LIMITATION,STUDY_STATUS.json,scope and diamond statuses,STRONG,Scope field and audit status fields.
CIT-17,19. Итоговый независимый вердикт AI Research Lab,Overall verdict is PARTIALLY_CONFIRMED.,AUDIT_CONCLUSION,STUDY_STATUS.json,final_verdict / diamond_statistical_reproduction_status,STRONG,Status consistency verified.
CIT-18,20. Рекомендации авторам статьи,External seed control should be exposed by an official CLI.,RECOMMENDATION,reports/COLORFUL_PINBALL_DIAMOND_STATISTICAL_REPRODUCTION_REPORT.md,recommendations section,MODERATE,Recommendation derived from seed-control limitation.
CIT-19,24. Appendix B — Method Mapping,Official alias mapping exists for Diamond methods.,REPRODUCTION_FACT,analysis/diamond/diamond_method_mapping.csv,mapping_status column,STRONG,Method mapping CSV.
CIT-20,24. Appendix C — Metric Mapping,Cov is reproduction-only and Volume/Size is renamed same metric.,REPRODUCTION_FACT,analysis/diamond/diamond_metric_mapping.csv,mapping_status column,STRONG,Metric mapping CSV.
CIT-21,24. Appendix G — Statistical Execution Record,Run bundle represents a completed 20-seed control run.,REPRODUCTION_FACT,execution/diamond_statistical/runs/run-001-seed-42/RUN_SPEC.json,"seed_count=20, control_run_status=COMPLETED",STRONG,Run spec and provenance.
CIT-22,24. Appendix H — Environment Snapshot,CPU-only environment documented.,LIMITATION,execution/diamond_statistical/ENVIRONMENT_SNAPSHOT.json,gpu_available=False,STRONG,Environment snapshot.
CIT-23,24. Appendix I — Limitations Matrix,No environment-matched hardware rerun.,LIMITATION,execution/diamond_statistical/CPU_ONLY_EXECUTION_ASSESSMENT.md,limitations section,MODERATE,Descriptive CPU-only assessment.
CIT-24,24. Appendix J — Claim Verdict Matrix,"Claim C5 is partially confirmed, not fully confirmed.",AUDIT_CONCLUSION,analysis/diamond/article_diamond_claims.csv,C5 row,STRONG,Diamond claim audit.
CIT-25,23. Заключение,Statistical reproducibility is insufficiently evidenced.,AUDIT_CONCLUSION,analysis/diamond/statistical/diamond_sample_completion_summary.json,sample_sufficient_for_* false,STRONG,No independent external seed rerun path.
